age,ed,employ,address,income,debtinc,creddebt,othdebt,default
0.8947368421052632,0.5,0.45714285714285713,0.90625,0.33632000000000006,0.8248318385650225,0.43815320902231897,1.0,1
0.7105263157894736,0.0,0.8285714285714285,0.78125,0.3017600000000001,0.8245515695067265,0.27666435629591674,0.9885477601624097,0
0.36842105263157887,0.5,0.2857142857142857,0.1875,0.28640000000000004,0.9557174887892377,0.46515459965664446,0.9871907284446372,1
0.36842105263157887,0.75,0.17142857142857143,0.09375,0.25664000000000003,0.9882286995515697,0.37860719324467035,0.9662996062104032,1
0.7631578947368421,0.25,0.7428571428571429,0.5,0.5558400000000001,0.5137331838565022,0.4925551410440297,0.9493338405563915,0
0.5263157894736842,0.75,0.42857142857142855,0.1875,0.50848,0.5263452914798207,0.39053967680610596,0.9445268399202996,1
0.5789473684210525,0.0,0.5714285714285714,0.03125,0.46528,0.484585201793722,0.1295704586848244,0.9362995114690307,0
0.7631578947368421,0.25,0.45714285714285713,0.4375,0.4198400000000001,0.7155269058295964,0.6555505051681213,0.9334208685743862,1
0.8157894736842105,0.0,0.9714285714285714,0.53125,0.7552000000000001,0.4792600896860987,0.9875616776005787,0.932649538349463,1
0.6578947368421052,0.5,0.6571428571428571,0.0,0.60832,0.3354820627802691,0.007868697223986509,0.9058628408493937,0
0.5263157894736842,0.5,0.19999999999999998,0.46875,0.66112,0.4103139013452915,0.46534685467064324,0.8922367280376983,1
0.8947368421052632,0.25,0.7714285714285714,0.625,0.58112,0.4492713004484305,0.4144658059265115,0.8893749211938493,0
0.42105263157894735,0.5,0.2571428571428571,0.25,0.29312000000000005,0.7956838565022422,0.3212163155400161,0.8889283649181438,0
0.7368421052631579,0.5,0.6285714285714286,0.75,0.5894400000000001,0.36378923766816146,0.12712799247322873,0.8735414092351121,0
0.6315789473684211,0.0,0.7714285714285714,0.5,0.52288,0.44002242152466364,0.2750006994777289,0.851438053177644,0
0.5789473684210525,0.0,0.6285714285714286,0.65625,0.34496000000000004,0.7317825112107624,0.4854743673663734,0.8491601753547562,0
0.5789473684210525,0.0,0.7142857142857143,0.125,0.54656,0.45011210762331844,0.39371813376326226,0.8402269855114474,1
